Sentences,Label
"Good case, Excellent value.",1
Great for the jawbone.,1
The mic is great.,1
"Needless to say, I wasted my money.",0
What a waste of money and time!.,0
And the sound quality is great.,1
So Far So Good!.,1
Works great!.,1
The commercials are the most misleading.,0
Great Pocket PC / phone combination.,1
Doesn't hold charge.,0
It is unusable in a moving car at freeway speed.,0
It has kept up very well.,1
Poor Talk Time Performance.,0
The case is great and works fine with the 680.,1
worthless product.,0
I was not impressed by this product.,0
Nice headset priced right.,1
I only hear garbage for audio.,0
Excellent bluetooth headset.,1
This case seems well made.,1
Disappointed with battery.,0
good protection and does not make phone too bulky.,1
VERY DISAPPOINTED.,0
The buttons for on and off are bad.,0
Buy a different phone - but not this.,0
Great for iPODs too.,1
Mic Doesn't work.,0
Nice docking station for home or work.,1
This is a beautiful phone.,1
Love this product.,1
Do Not Buy for D807...wrongly advertised for D807.,0
This is a great little item.,1
I wear it everyday and it holds up very well.,1
Not a good bargain.,0
The battery runs down quickly.,0
This phone works great.,1
The construction of the headsets is poor.,0
Made very sturdy.,1
Worked great!.,1
The ear buds only play music in one ear.,0
Dont waste your money...,0
If you plan to use this in a car forget about it.,0
I found this product to be waaay too big.,0
I'm very disappointed with my decision.,0
Definitely a bargain.,1
"Great product, fast shipping!.",1
Absolutely great.,1
It is very comfortable on the ear.,1
It has been a winner for us.,1
)Setup couldn't have been simpler.,1
Could not get strong enough signal.,0
Iam very pleased with my purchase.,1
Bad Quality.,0
Gets the job done.,1
Great audio!.,1
Basically the service was very bad.,0
The BT headset was such a disapoinment.,0
The accompanied software is almost brilliant.,1
Buyer--Be Very Careful!!!!!.,0
Very good stuff for the price.,1
My headset works just peachy-keen.,1
What a waste.,0
I was not happy with this item.,0
very disappointed.,0
Its reception is very very poor.,0
I Was Hoping for More.,0
"Audio Quality is poor, very poor.",0
W810i is just SUPERB.,1
Great charger.,1
Great Value.,1
doesn't last long.,0
EXCELLENT SERVICE!!!!!!!!.,1
Thank you for wasting my money.,0
How can that be?The audio quality is poor.,0
The iGo chargers and tips are really great.,1
Superb Phone on a Great Network.,1
Don't buy this product.,0
Incredible!.,1
Design Flaw?.,0
Great phone!.,1
Waste of 13 bucks.,0
The replacement died in a few weeks.,0
Any ring tone..Overall good phone to buy..,1
Not impressed.,0
"Light weight, I hardly notice it is there.",1
You'll love how thin it is.,1
Bad Choice.,0
The pleather case doesn't fit.,0
"useless phone, simply deaf.",0
All in all I think it was a good investment.,1
Battery lasts only a few hours.,0
"great headset, very impressed - H500.",1
Good transmit audio.,1
We are sending it back.,0
fast service.,1
I would highly recommend this.,1
I would recommend this.,1
WORST PHONE EVER.,0
I'm still infatuated with this phone.,1
Freezes frequently4.,0
"Simple, lightweight and great fit.",1
