Sentences,Label
so there is no way for me to plug it in here in the us unless i go by a converter,0
good case excellent value,1
great for the jawbone,1
tied to charger for conversations lasting more than minutes major problems,0
the mic is great,1
i have to jiggle the plug to get it to line up right to get decent volume,0
if you have several dozen or several hundred contacts then imagine the fun of sending each of them,0
if you are razr owner you must have this,1
needless to say i wasted my money,0
what a waste of money and time,0
and the sound quality is great,1
he was very impressed when going from the original battery to the extended battery,1
the design is very odd as the ear clip is not very comfortable at all,0
highly recommend for any one who has a blue tooth phone,1
i advise everyone do not be fooled,0
so far so good,1
works great,1
it clicks into place in a way that makes you wonder how long that mechanism would last,0
i went on motorola s website and followed all directions but could not get it to pair again,0
i bought this to use with my kindle fire and absolutely loved it,1
the commercials are the most misleading,0
i have yet to run this new battery below two bars and that s three days without charging,1
i bought it for my mother and she had a problem with the battery,0
great pocket pc phone combination,1
i ve owned this phone for months now and can say that it s the best mobile phone i ve had,1
i didn t think that the instructions provided were helpful to me,0
people couldnt hear me talk and i had to pull out the earphone and talk on the phone,0
doesn t hold charge,0
this is a simple little phone to use but the breakage is unacceptible,0
this product is ideal for people like me whose ears are very sensitive,1
it is unusable in a moving car at freeway speed,0
i have two more years left in this contract and i hate this phone,0
it has kept up very well,1
poor talk time performance,0
the case is great and works fine with the,1
worthless product,0
it has a great camera thats mp and the pics are nice and clear with great picture quality,1
i was not impressed by this product,0
nice headset priced right,1
i only hear garbage for audio,0
excellent bluetooth headset,1
who in their right mind is gonna buy this battery,0
after arguing with verizon regarding the dropped calls we returned the phones after two days,0
this case seems well made,1
disappointed with battery,0
not loud enough and doesn t turn on like it should,0
good protection and does not make phone too bulky,1
this phone is pretty sturdy and i ve never had any large problems with it,1
i love this thing,1
everything about it is fine and reasonable for the price i e,1
very disappointed,0
the buttons for on and off are bad,0
essentially you can forget microsoft s tech support,0
i really recommend this faceplates since it looks very nice elegant and cool,1
buy a different phone but not this,0
you have to hold the phone at a particular angle for the other party to hear you clearly,0
a week later after i activated it it suddenly died,0
great for ipods too,1
this device is great in several situations,1
mic doesn t work,0
great choice,1
nice docking station for home or work,1
this is a beautiful phone,1
love this product,1
do not buy for d wrongly advertised for d,0
this is a great little item,1
i love this phone it is very handy and has a lot of features,1
i purchased this and within days it was no longer working,0
i wear it everyday and it holds up very well,1
not a good bargain,0
well packaged arrived on time and works as intended,1
the battery runs down quickly,0
this item worked great but it broke after months of use,0
the headsets are easy to use and everyone loves them,1
this phone works great,1
the construction of the headsets is poor,0
product was excellent and works better than the verizon one and boy was it cheaper,1
the phone loads super,1
made very sturdy,1
worked great,1
the ear buds only play music in one ear,0
dont waste your money,0
will order from them again,1
if you plan to use this in a car forget about it,0
i found this product to be waaay too big,0
i m very disappointed with my decision,0
integrated seamlessly with the motorola razr phone,1
buyer beware you could flush money right down the toilet,0
definitely a bargain,1
the price was very good and with the free shipping and all it was a good purchase,1
pros good camera very nice pictures also has cool styles like black and white and more,1
that s a huge design flaw unless i m not using it correctly which i don t think is the case,0
i purcashed this for the car charger and it does not work,0
this phone is slim and light and the display is beautiful,1
great product fast shipping,1
absolutely great,1
the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,1
i got this phone around the end of may and i m completely unhappy with it,0
it is very comfortable on the ear,1
it has been a winner for us,1
setup couldn t have been simpler,1
could not get strong enough signal,0
iam very pleased with my purchase,1
bad quality,0
gets the job done,1
great audio,1
basically the service was very bad,0
it did not work in my cell phone plug i am very up set with the charger,0
i ve only had my bluetooth for a few weeks but i really like it,1
the bt headset was such a disapoinment,0
it is so small and you don t even realize that it is there after a while of getting used to it,1
the accompanied software is almost brilliant,1
headset works great was packaged nicely to avoid any damage,1
i definitly recommend,1
buyer be very careful,0
the majority of the logitech earbud headsets failed,0
very good stuff for the price,1
my headset works just peachy keen,1
in my house i was getting dropped coverage upstairs and no coverage in my basement,0
voice recognition is tremendous,1
what a waste,0
i was not happy with this item,0
very disappointed,0
the phone takes forever to charge like to hours literally,0
i got this phone on reccomendation from a relative and i m glad i did,1
what a waste of time,0
its reception is very very poor,0
items stated as included from the description are not included,0
after months screen just went black all of a sudden,0
i was hoping for more,0
audio quality is poor very poor,0
i had absolutely no problem with this headset linking to my blackberry curve,1
i know that sounds funny but to me it seemed like sketchy technology that wouldn t work well well,1
i ve bought wired headphones that sound better than these,0
nice quality build unlike some cheap s out there,1
this item is fantastic and works perfectly,1
and i just love the colors,1
w i is just superb,1
all i can do is whine on the internet so here it goes the more i use the thing the less i like it,0
great charger,1
this is essentially a communications tool that does not communicate,0
works like a charm it work the same as the one i got with the phone,1
great value,1
doesn t work at all i bougth it for my l c and its not working,0
the look of it is very sharp and the screen is nice and clear with great graphics,1
doesn t last long,0
one thing i hate is the mode set button at the side,0
excellent service,1
thank you for wasting my money,0
how can that be the audio quality is poor,0
the igo chargers and tips are really great,1
the file browser offers all the options that one needs handsfree is great,1
superb phone on a great network,1
i connected my wife s bluetooth motorola hs to my phone and it worked like a charm whether the,1
i put the latest os on it v g and it now likes to slow to a crawl and lock up every once in a,0
it only recognizes the phone as its storage device,0
if you like a loud buzzing to override all your conversations then this phone is for you,0
don t buy this product,0
the sound quality is good and functionality is awesome,1
i have this phone and it is a thorn in my side i really abhor it,0
incredible,1
design flaw,0
great phone,1
waste of bucks,0
the replacement died in a few weeks,0
any ring tone overall good phone to buy,1
lately they have been extremely nice and helpful on the phone,1
i have had problems wit hit dropping signal and more,0
not impressed,0
light weight i hardly notice it is there,1
you ll love how thin it is,1
bad choice,0
the pleather case doesn t fit,0
useless phone simply deaf,0
the color is even prettier than i thought it would be and the graphics are incredibly sharp,1
all in all i think it was a good investment,1
it makes very strange ticking noises before it ends the call,0
the best electronics of the available fm transmitters,1
battery lasts only a few hours,0
great headset very impressed h,1
the mega pixel camera being a part of a phone is reasonably good,1
i ve had this for nearly years and it has worked great for me,1
good transmit audio,1
we are sending it back,0
